source_model,source_waveform_id,source_waveform_name,target_model,target_waveform_id,target_waveform_name,confidence,match_method,auto_apply,candidates,source_catalog,source_basis
MONTAGE,7,CF3 Stretch Soft St-,MODX M,33,CF3 Stretch Soft St-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,87,S6 Stretch Sw Mn+,MODX M,113,S6 Stretch Sw Mn+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,167,EP1 Soft,MODX M,282,EP1 Soft,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,247,Wr2 p,MODX M,386,Wr2 p,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,8,CF3 Stretch Soft Mn-,MODX M,34,CF3 Stretch Soft Mn-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,88,S6 Stretch Sw St-,MODX M,114,S6 Stretch Sw St-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,168,EP1 Soft+,MODX M,283,EP1 Soft+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,248,Wr2 mf,MODX M,387,Wr2 mf,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,9,CF3 Stretch Med St,MODX M,35,CF3 Stretch Med St,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,89,S6 Stretch Sw Mn-,MODX M,115,S6 Stretch Sw Mn-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,169,EP1 Soft-,MODX M,284,EP1 Soft-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,249,Wr2 f,MODX M,388,Wr2 f,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,10,CF3 Stretch Med Mn,MODX M,36,CF3 Stretch Med Mn,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,90,S6 Stretch KeyOff St,MODX M,116,S6 Stretch KeyOff St,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,170,EP1 Med,MODX M,285,EP1 Med,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,250,Wr2 ff,MODX M,389,Wr2 ff,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,11,CF3 Stretch Med St+,MODX M,37,CF3 Stretch Med St+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,91,S6 Stretch KeyOff Mn,MODX M,117,S6 Stretch KeyOff Mn,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,171,EP1 Med+,MODX M,286,EP1 Med+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,251,Wr2 3Sw,MODX M,390,Wr2 3Sw,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,12,CF3 Stretch Med Mn+,MODX M,38,CF3 Stretch Med Mn+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,92,S6 Stretch KeyOff L,MODX M,118,S6 Stretch KeyOff L,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,172,EP1 Med-,MODX M,287,EP1 Med-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,252,Wr2 KeyOff,MODX M,391,Wr2 KeyOff,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,13,CF3 Stretch Med St-,MODX M,39,CF3 Stretch Med St-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,93,S6 Stretch KeyOff R,MODX M,119,S6 Stretch KeyOff R,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,173,EP1 Hard,MODX M,288,EP1 Hard,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,253,Wr3 p,MODX M,393,Wr3 p,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,14,CF3 Stretch Med Mn-,MODX M,40,CF3 Stretch Med Mn-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,94,S6 Stretch KeyOfStPn,MODX M,120,S6 Stretch KeyOff St Pn,NORMALIZED_EXACT,known Yamaha abbreviation/format expansion,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,174,EP1 Hard+,MODX M,289,EP1 Hard+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,254,Wr3 mp,MODX M,394,Wr3 mp,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,15,CF3 Stretch Hard St,MODX M,41,CF3 Stretch Hard St,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,95,S6 Flat pp St,MODX M,121,S6 Flat pp St,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,175,EP1 Hard-,MODX M,290,EP1 Hard-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,255,Wr3 mf,MODX M,395,Wr3 mf,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,16,CF3 Stretch Hard Mn,MODX M,42,CF3 Stretch Hard Mn,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,96,S6 Flat pp Mn,MODX M,122,S6 Flat pp Mn,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,176,EP2 Sw,MODX M,291,EP2 Sw,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,256,Wr3 f,MODX M,396,Wr3 f,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,17,CF3 Stretch Hard St+,MODX M,43,CF3 Stretch Hard St+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,97,S6 Flat pp L,MODX M,123,S6 Flat pp L,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,177,EP2 Soft1,MODX M,292,EP2 Soft1,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,257,Wr3 ff,MODX M,397,Wr3 ff,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,18,CF3 Stretch Hard Mn+,MODX M,44,CF3 Stretch Hard Mn+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,98,S6 Flat pp R,MODX M,124,S6 Flat pp R,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,178,EP2 Soft1+,MODX M,293,EP2 Soft1+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,258,Wr3 KeyOff,MODX M,398,Wr3 KeyOff,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,19,CF3 Stretch Hard St-,MODX M,45,CF3 Stretch Hard St-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,99,S6 Flat pp St Pan,MODX M,125,S6 Flat pp St Pan,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,179,EP2 Soft1-,MODX M,294,EP2 Soft1-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,259,Wr KeyNoise p,MODX M,399,Wr KeyNoise p,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,20,CF3 Stretch Hard Mn-,MODX M,46,CF3 Stretch Hard Mn-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,100,S6 Flat pp St+,MODX M,126,S6 Flat pp St+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,180,EP2 Soft2,MODX M,295,EP2 Soft2,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,260,Wr KeyNoise mf,MODX M,400,Wr KeyNoise mf,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,21,CF3 Key Off St,MODX M,47,CF3 KeyOff St,NORMALIZED_EXACT,conservative normalized unique name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,101,S6 Flat pp Mn+,MODX M,127,S6 Flat pp Mn+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,181,EP2 Soft2+,MODX M,296,EP2 Soft2+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,261,Wr KeyNoise f,MODX M,401,Wr KeyNoise f,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,22,CF3 Key Off L,MODX M,48,CF3 KeyOff L,NORMALIZED_EXACT,conservative normalized unique name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,102,S6 Flat pp St-,MODX M,128,S6 Flat pp St-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,182,EP2 Soft2-,MODX M,297,EP2 Soft2-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,262,Wr Key Off mf,MODX M,402,Wr KeyOff mf,NORMALIZED_EXACT,conservative normalized unique name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,23,CF3 Key Off R,MODX M,49,CF3 KeyOff R,NORMALIZED_EXACT,conservative normalized unique name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,103,S6 Flat pp Mn-,MODX M,129,S6 Flat pp Mn-,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,183,EP2 Hard1,MODX M,298,EP2 Hard1,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,263,Wr Key Off f,MODX M,403,Wr KeyOff f,NORMALIZED_EXACT,conservative normalized unique name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,24,CF3 Flat Sw St,MODX M,50,CF3 Flat Sw St,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,104,S6 Flat mp St,MODX M,130,S6 Flat mp St,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,184,EP2 Hard1+,MODX M,299,EP2 Hard1+,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,264,DX1,MODX M,404,DX1,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,25,CF3 Flat Sw Mn,MODX M,51,CF3 Flat Sw Mn,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
MONTAGE,105,S6 Flat mp Mn,MODX M,131,S6 Flat mp Mn,EXACT_NAME,unique exact Yamaha waveform name,True,,"MONTAGE 6/7/8 Data List v3.50 (J0), shared legacy waveform catalog",legacy shared 1–6347 catalog; Yamaha documents MONTAGE↔MODX compatibility
