region,offset_dec,offset_hex,size,field,status,encoding,meaning,evidence,notes
FILE_HEADER,19,0x0013,1,version [byte 4/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,20,0x0014,1,version [byte 5/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,21,0x0015,1,version [byte 6/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,22,0x0016,1,version [byte 7/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,23,0x0017,1,version [byte 8/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,24,0x0018,1,version [byte 9/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,25,0x0019,1,version [byte 10/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,26,0x001A,1,version [byte 11/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,27,0x001B,1,version [byte 12/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,28,0x001C,1,version [byte 13/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,29,0x001D,1,version [byte 14/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,30,0x001E,1,version [byte 15/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,31,0x001F,1,version [byte 16/16],VERIFIED,ASCII/NUL,"Format/version string; observed 5.1.2 modern, 5.0.1 MODX classic, 4.0.5 MONTAGE classic",★★★★★,
FILE_HEADER,32,0x0020,1,catalogue_size,VERIFIED,u32 BE,Directory/catalogue size = chunk_count × 8,★★★★★,
FILE_HEADER,33,0x0021,1,catalogue_size [byte 2/4],VERIFIED,u32 BE,Directory/catalogue size = chunk_count × 8,★★★★★,
FILE_HEADER,34,0x0022,1,catalogue_size [byte 3/4],VERIFIED,u32 BE,Directory/catalogue size = chunk_count × 8,★★★★★,
FILE_HEADER,35,0x0023,1,catalogue_size [byte 4/4],VERIFIED,u32 BE,Directory/catalogue size = chunk_count × 8,★★★★★,
FILE_HEADER,36,0x0024,1,reserved_ff_1,RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,37,0x0025,1,reserved_ff_1 [byte 2/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,38,0x0026,1,reserved_ff_1 [byte 3/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,39,0x0027,1,reserved_ff_1 [byte 4/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,40,0x0028,1,reserved_ff_1 [byte 5/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,41,0x0029,1,reserved_ff_1 [byte 6/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,42,0x002A,1,reserved_ff_1 [byte 7/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,43,0x002B,1,reserved_ff_1 [byte 8/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,44,0x002C,1,reserved_ff_1 [byte 9/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,45,0x002D,1,reserved_ff_1 [byte 10/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,46,0x002E,1,reserved_ff_1 [byte 11/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,47,0x002F,1,reserved_ff_1 [byte 12/12],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,48,0x0030,1,library_info_length,VERIFIED,u32 BE,"Library-info area length; modern baseline 241, classic 81",★★★★★,
FILE_HEADER,49,0x0031,1,library_info_length [byte 2/4],VERIFIED,u32 BE,"Library-info area length; modern baseline 241, classic 81",★★★★★,
FILE_HEADER,50,0x0032,1,library_info_length [byte 3/4],VERIFIED,u32 BE,"Library-info area length; modern baseline 241, classic 81",★★★★★,
FILE_HEADER,51,0x0033,1,library_info_length [byte 4/4],VERIFIED,u32 BE,"Library-info area length; modern baseline 241, classic 81",★★★★★,
FILE_HEADER,52,0x0034,1,reserved_ff_2,RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,53,0x0035,1,reserved_ff_2 [byte 2/8],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,54,0x0036,1,reserved_ff_2 [byte 3/8],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,55,0x0037,1,reserved_ff_2 [byte 4/8],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,56,0x0038,1,reserved_ff_2 [byte 5/8],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,57,0x0039,1,reserved_ff_2 [byte 6/8],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,58,0x003A,1,reserved_ff_2 [byte 7/8],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,59,0x003B,1,reserved_ff_2 [byte 8/8],RESERVED,bytes,Observed 0xFF padding,★★★★★,
FILE_HEADER,60,0x003C,1,build_save_stamp,VERIFIED,u32 BE,Per-file save/build counter; not Unix timestamp; low 16 bits also appear in Entr metadata,★★★★★,
FILE_HEADER,61,0x003D,1,build_save_stamp [byte 2/4],VERIFIED,u32 BE,Per-file save/build counter; not Unix timestamp; low 16 bits also appear in Entr metadata,★★★★★,
FILE_HEADER,62,0x003E,1,build_save_stamp [byte 3/4],VERIFIED,u32 BE,Per-file save/build counter; not Unix timestamp; low 16 bits also appear in Entr metadata,★★★★★,
FILE_HEADER,63,0x003F,1,build_save_stamp [byte 4/4],VERIFIED,u32 BE,Per-file save/build counter; not Unix timestamp; low 16 bits also appear in Entr metadata,★★★★★,
EPFM_ENTRY_FIXED,0,0x0000,1,dpfm_blob_size,VERIFIED,u32 BE,DPFM Performance blob size,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,1,0x0001,1,dpfm_blob_size [byte 2/4],VERIFIED,u32 BE,DPFM Performance blob size,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,2,0x0002,1,dpfm_blob_size [byte 3/4],VERIFIED,u32 BE,DPFM Performance blob size,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,3,0x0003,1,dpfm_blob_size [byte 4/4],VERIFIED,u32 BE,DPFM Performance blob size,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,4,0x0004,1,dpfm_payload_offset,VERIFIED,u32 BE,Offset of matching DPFM Data record within DPFM payload,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,5,0x0005,1,dpfm_payload_offset [byte 2/4],VERIFIED,u32 BE,Offset of matching DPFM Data record within DPFM payload,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,6,0x0006,1,dpfm_payload_offset [byte 3/4],VERIFIED,u32 BE,Offset of matching DPFM Data record within DPFM payload,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,7,0x0007,1,dpfm_payload_offset [byte 4/4],VERIFIED,u32 BE,Offset of matching DPFM Data record within DPFM payload,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,8,0x0008,1,constant_00,INTERNAL,u8,Observed constant 0x00,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,9,0x0009,1,constant_40,VERIFIED,u8,Required/validated constant 0x40,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,10,0x000A,1,constant_or_id_hi,PARTIAL,u8,For EPFM commonly 0x00; dependency Entr records use related positions differently,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,11,0x000B,1,destination_slot,VERIFIED,u8,Compact destination slot/index for sequential export,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,12,0x000C,1,constant_00_12,INTERNAL,u8,Observed 0x00 in modern EPFM,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,13,0x000D,1,multi_engine_flag,PARTIAL,u8,Observed metadata; exact semantics not fully closed,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,14,0x000E,1,constant_00_14,INTERNAL,u8,Observed 0x00,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,15,0x000F,1,engine_bits,VERIFIED,bitmask,"0x01 AWM2/Drum, 0x02 FM-X, 0x04 AN-X; OR-combined",YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,16,0x0010,1,source_flag,PARTIAL,u8,"Observed source/export-origin flag; 0x00 ESP, 0x02 hardware in corpus; other values exist",YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,17,0x0011,1,constant_00_17,INTERNAL,u8,Observed 0x00 in baseline,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,18,0x0012,1,active_part_mask_low,VERIFIED,bitmask,Active-Part bitmask for common cases; multi-Part semantics verified in YSFC corpus,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,19,0x0013,1,metadata_padding_19_24,UNKNOWN,bytes,Mostly zero in common files; exact per-byte semantics not fully explained,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,20,0x0014,1,metadata_padding_19_24 [byte 2/6],UNKNOWN,bytes,Mostly zero in common files; exact per-byte semantics not fully explained,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,21,0x0015,1,metadata_padding_19_24 [byte 3/6],UNKNOWN,bytes,Mostly zero in common files; exact per-byte semantics not fully explained,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,22,0x0016,1,metadata_padding_19_24 [byte 4/6],UNKNOWN,bytes,Mostly zero in common files; exact per-byte semantics not fully explained,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,23,0x0017,1,metadata_padding_19_24 [byte 5/6],UNKNOWN,bytes,Mostly zero in common files; exact per-byte semantics not fully explained,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,24,0x0018,1,metadata_padding_19_24 [byte 6/6],UNKNOWN,bytes,Mostly zero in common files; exact per-byte semantics not fully explained,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,25,0x0019,1,record_stamp,VERIFIED,u16 BE,Per-record stamp derived from file build/save stamp family,YSFC + SysEx Forge,
EPFM_ENTRY_FIXED,26,0x001A,1,record_stamp [byte 2/2],VERIFIED,u16 BE,Per-record stamp derived from file build/save stamp family,YSFC + SysEx Forge,
AWM2_ELEMENT,0,0x0000,1,element_header,VERIFIED,bool,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,1,0x0001,1,keyondly_sync,VERIFIED,bool,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,2,0x0002,1,aeg_half_damper,VERIFIED,bool,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,3,0x0003,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,4,0x0004,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,5,0x0005,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,6,0x0006,1,extended_lfo,VERIFIED,bool,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,7,0x0007,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,8,0x0008,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,9,0x0009,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,10,0x000A,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,11,0x000B,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,12,0x000C,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,13,0x000D,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,14,0x000E,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,15,0x000F,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,16,0x0010,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,17,0x0011,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,18,0x0012,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,19,0x0013,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,20,0x0014,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,21,0x0015,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,22,0x0016,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,23,0x0017,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,24,0x0018,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,25,0x0019,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,26,0x001A,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,27,0x001B,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,28,0x001C,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,29,0x001D,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,30,0x001E,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,31,0x001F,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,32,0x0020,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,33,0x0021,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,34,0x0022,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,35,0x0023,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,36,0x0024,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,37,0x0025,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,38,0x0026,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,39,0x0027,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,40,0x0028,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,41,0x0029,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,42,0x002A,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,43,0x002B,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,44,0x002C,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,45,0x002D,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,46,0x002E,1,firmware_constant,INTERNAL,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,47,0x002F,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,48,0x0030,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,49,0x0031,1,elem_group,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,50,0x0032,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,51,0x0033,1,waveform_lo,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,52,0x0034,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,53,0x0035,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,54,0x0036,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,55,0x0037,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,56,0x0038,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,57,0x0039,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,58,0x003A,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,59,0x003B,1,pan,VERIFIED,c64,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,60,0x003C,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,61,0x003D,1,aeg_random_pan,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,62,0x003E,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,63,0x003F,1,aeg_alternate_pan,VERIFIED,c64,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,64,0x0040,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,65,0x0041,1,aeg_scaling_pan,VERIFIED,c64,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,66,0x0042,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,67,0x0043,1,xa_control,VERIFIED,enum,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,68,0x0044,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,69,0x0045,1,note_limit_low,VERIFIED,MIDI,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,70,0x0046,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,71,0x0047,1,note_limit_high,VERIFIED,MIDI,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,72,0x0048,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,73,0x0049,1,vel_limit_low,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,74,0x004A,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,75,0x004B,1,vel_limit_high,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,76,0x004C,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,77,0x004D,1,vel_xfade,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,78,0x004E,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,79,0x004F,1,delay_length,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,80,0x0050,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,81,0x0051,1,elem_connect,VERIFIED,enum,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,82,0x0052,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,83,0x0053,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,84,0x0054,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,85,0x0055,1,keyondly_sync_delay,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,86,0x0056,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,87,0x0057,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,88,0x0058,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,89,0x0059,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,90,0x005A,1,firmware_constant,INTERNAL,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,91,0x005B,1,level,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,92,0x005C,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,93,0x005D,1,amp_level_vel,VERIFIED,c64,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,94,0x005E,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,95,0x005F,1,aeg_offset,VERIFIED,c64,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,96,0x0060,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,97,0x0061,1,amp_level_curve,VERIFIED,enum,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,98,0x0062,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,99,0x0063,1,aeg_attack,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,100,0x0064,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,101,0x0065,1,aeg_decay1,VERIFIED,c64,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,102,0x0066,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,103,0x0067,1,aeg_decay2,VERIFIED,c64,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,104,0x0068,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,105,0x0069,1,aeg_half_damper_time,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,106,0x006A,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,107,0x006B,1,aeg_release,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,108,0x006C,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,109,0x006D,1,aeg_initial_level,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,110,0x006E,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,111,0x006F,1,aeg_attack_level,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,112,0x0070,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,113,0x0071,1,aeg_decay1_level,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,114,0x0072,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,115,0x0073,1,aeg_decay2_level,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,116,0x0074,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,117,0x0075,1,amp_segment_decay,VERIFIED,u8,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,118,0x0076,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,119,0x0077,1,amp_time_vel,VERIFIED,c64,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,120,0x0078,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,121,0x0079,1,amp_time_key,VERIFIED,c64,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,122,0x007A,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,123,0x007B,1,amp_scaling_center_key,VERIFIED,MIDI,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,124,0x007C,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,125,0x007D,1,amp_scaling_bp1,VERIFIED,MIDI,Se master-specifikationens AWM2-tabell,★★★★★,
AWM2_ELEMENT,126,0x007E,1,,UNKNOWN,,Information saknas / ännu ej förklarad,,
AWM2_ELEMENT,127,0x007F,1,amp_scaling_bp2,VERIFIED,MIDI,Se master-specifikationens AWM2-tabell,★★★★★,
